dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data4,EPT-STGCN,8,64,50,0.09352681040763855,0.0632837563753128,400.83189725875854
data4,EPT-STGCN,12,16,50,0.10230544209480286,0.06532300263643265,392.32720732688904
data4,EPT-STGCN,12,32,50,0.09510072320699692,0.06415288895368576,395.67016339302063
data4,EPT-STGCN,12,64,50,0.09554153680801392,0.06360936164855957,409.19967555999756
data4,EPT-STGCN,4,16,50,0.08549334853887558,0.06297966837882996,373.7689759731293
data4,EPT-STGCN,4,32,50,0.08410611748695374,0.06096738576889038,375.287957906723
data4,EPT-STGCN,4,64,50,0.08640844374895096,0.06340022385120392,387.444949388504
data4,EPT-STGCN,8,16,50,0.09387113898992538,0.06583737581968307,387.0224869251251
data4,EPT-STGCN,8,32,50,0.09558353573083878,0.06374333053827286,386.28564500808716
data4,EPT-STGCN,8,64,50,0.09472213685512543,0.06406928598880768,397.7662630081177
data4,EPT-STGCN,12,16,50,0.09647827595472336,0.0641728863120079,391.67859721183777
data4,EPT-STGCN,12,32,50,0.10168541967868805,0.06485584378242493,395.35220217704773
data4,EPT-STGCN,12,64,50,0.10200720280408859,0.06672698259353638,406.3389935493469
data4,EPT-STGCN,4,16,50,0.08304659277200699,0.06093553453683853,374.5584170818329
data4,EPT-STGCN,4,32,50,0.08657770603895187,0.06251877546310425,376.0962028503418
data4,EPT-STGCN,4,64,50,0.08626314997673035,0.06322986632585526,386.8015809059143
data4,EPT-STGCN,8,16,50,0.09461871534585953,0.06507115066051483,382.89165711402893
data4,EPT-STGCN,8,32,50,0.09357036650180817,0.06499305367469788,388.94312834739685
data4,EPT-STGCN,8,64,50,0.09603241831064224,0.06551002711057663,399.8724226951599
data4,EPT-STGCN,12,16,50,0.09926579147577286,0.0651078075170517,389.4432783126831
data4,EPT-STGCN,12,32,50,0.09382030367851257,0.06286180019378662,394.7735404968262
data4,EPT-STGCN,12,64,50,0.10148301720619202,0.06597564369440079,404.0484254360199
data4,EPT-STGCN,4,16,50,0.08640426397323608,0.06269300729036331,370.9565098285675
data4,EPT-STGCN,4,32,50,0.08602643758058548,0.06308982521295547,377.947979927063
data4,EPT-STGCN,4,64,50,0.08971789479255676,0.06336367130279541,386.0890266895294
data4,EPT-STGCN,8,16,50,0.09086677432060242,0.06412235647439957,381.2931399345398
data4,EPT-STGCN,8,32,50,0.09105115383863449,0.06281358003616333,386.52201890945435
data4,EPT-STGCN,8,64,50,0.09373228996992111,0.0638359934091568,398.72425603866577
data4,EPT-STGCN,12,16,50,0.09369055181741714,0.06237411871552467,389.14662408828735
data4,EPT-STGCN,12,32,50,0.09185466915369034,0.06185438483953476,395.3971390724182
data4,EPT-STGCN,12,64,50,0.09920386224985123,0.06567447632551193,406.67976570129395
data4,EPT-STGCN,4,16,50,0.087190181016922,0.06422562897205353,372.22754287719727
data4,EPT-STGCN,4,32,50,0.08564634621143341,0.06216553971171379,381.9163098335266
data4,EPT-STGCN,4,64,50,0.08801043778657913,0.06472700834274292,392.64986872673035
data4,EPT-STGCN,8,16,50,0.10168330371379852,0.06802286207675934,385.6856529712677
data4,EPT-STGCN,8,32,50,0.0934499055147171,0.06427250802516937,389.39657735824585
data4,EPT-STGCN,8,64,50,0.0951106995344162,0.06289210915565491,402.9111166000366
data4,EPT-STGCN,12,16,50,0.09971827268600464,0.0640757754445076,394.16974902153015
data4,EPT-STGCN,12,32,50,0.10091686248779297,0.06604593247175217,396.1877975463867
data4,EPT-STGCN,12,64,50,0.09773021936416626,0.06395808607339859,409.5757055282593
