"yU1","yU2","yU3","yU4","yU5","yU6","yU7","yU8","yU9","yU10","yU11","yU12","yU13","yU14","yU15","yU16","yU17","yU18","yU19","yU20","yU21","yU22","yU23","yU24","yU25","yU26","yU27","yU28","yU29","yU30","yU31","yU32","yU33","yU34","yU35","yU36","yU37","yU38","yU39","yU40","yU41","yU42","yU43","yU44"
0.7912,0.795200000000001,0.8184,0.8216,1.9096,0.768799999999999,0.7944,0.7468,0.8576,0.6464,0.396800000000001,0.6684,0.6524,0.3612,0.5852,0.5884,0.960799999999999,0.699199999999999,0.804399999999999,0.927999999999999,0.633599999999999,1.3316,1.3044,1.9744,0.903600000000001,1.406,1.9268,0.494,3.0024,2.9304,0.634399999999999,1.5852,2.1536,0.9612,1.2004,0.9064,1.3308,0.762400000000001,1.5532,0.6492,0.9252,0.8344,0.808400000000001,0.8284
0.808400000000001,0.808,0.8184,0.853199999999999,1.9996,0.771199999999999,0.800000000000001,0.771600000000001,0.8896,0.679600000000001,0.386000000000001,0.681600000000001,0.6996,0.357199999999999,0.6,0.625999999999999,0.976799999999999,0.688000000000001,0.8028,0.934799999999999,0.650399999999999,1.37,1.2624,2.0112,0.922000000000001,1.464,1.9316,0.512,2.9952,2.9356,0.6616,1.598,2.1868,0.9328,1.2192,0.9008,1.2948,0.7988,1.588,0.667999999999999,0.962400000000001,0.856,0.814,0.8096
0.8256,0.834800000000001,0.8184,0.8848,2.0684,0.779199999999999,0.8056,0.8184,0.936,0.7128,0.378400000000001,0.694800000000001,0.7536,0.353199999999999,0.614799999999999,0.663600000000001,0.992799999999999,0.6768,0.8012,0.941599999999999,0.667199999999999,1.4084,1.2204,2.048,0.9404,1.522,1.9364,0.5472,2.988,2.9408,0.696,1.6108,2.22,0.904400000000001,1.238,0.895199999999999,1.2588,0.836400000000001,1.624,0.69,0.999600000000001,0.889200000000001,0.819599999999999,0.790800000000001
0.847200000000001,0.879200000000001,0.8184,0.918000000000001,2.1372,0.7872,0.811199999999999,0.8688,0.9864,0.746,0.3756,0.708,0.811199999999999,0.3592,0.6296,0.7012,1.0088,0.6656,0.7996,0.948399999999999,0.685599999999999,1.4468,1.1784,2.0848,0.9816,1.58,1.9412,0.583600000000001,2.9808,2.946,0.732799999999999,1.6236,2.2532,0.875999999999999,1.2568,0.8896,1.2228,0.8992,1.66,0.714399999999999,1.0368,0.9436,0.825200000000001,0.772
0.8688,0.924000000000001,0.8184,0.9512,2.206,0.795199999999999,0.816800000000001,0.9192,1.0372,0.779199999999999,0.3728,0.721200000000001,0.8688,0.3704,0.644399999999999,0.738799999999999,1.0248,0.654400000000001,0.798,0.9552,0.703999999999999,1.4852,1.1364,2.1216,1.0284,1.638,1.946,0.620000000000001,2.9736,2.9512,0.769600000000001,1.6364,2.2864,0.8476,1.2756,0.884,1.1868,0.9628,1.696,0.738799999999999,1.074,0.997999999999999,0.8308,0.7532
0.8904,0.9688,0.8184,0.984400000000001,2.2748,0.8032,0.8224,0.9696,1.088,0.8124,0.370000000000001,0.734400000000001,0.926400000000001,0.381600000000001,0.6592,0.776400000000001,1.0408,0.6432,0.7964,0.962,0.722399999999999,1.5236,1.0944,2.1584,1.0752,1.696,1.9508,0.6564,2.9664,2.9564,0.8064,1.6492,2.3196,0.8192,1.2944,0.878399999999999,1.1508,1.028,1.732,0.763199999999999,1.1112,1.0524,0.836400000000001,0.734400000000001
0.912000000000001,1.0136,0.8184,1.0176,2.3436,0.811199999999999,0.828000000000001,1.02,1.1388,0.845599999999999,0.3672,0.7476,0.984,0.392799999999999,0.673999999999999,0.814,1.0568,0.632,0.7948,0.9688,0.7408,1.562,1.0524,2.1952,1.122,1.754,1.9556,0.6928,2.9592,2.9616,0.8432,1.662,2.3528,0.790799999999999,1.3132,0.8728,1.1148,1.0932,1.768,0.787599999999999,1.1484,1.1068,0.842000000000001,0.7156
0.9336,1.0584,0.8184,1.0508,2.4124,0.8192,0.833600000000001,1.0704,1.1896,0.8788,0.3644,0.760800000000001,1.0416,0.404,0.688800000000001,0.851599999999999,1.0728,0.620799999999999,0.793200000000001,0.9756,0.7592,1.6004,1.0104,2.232,1.1688,1.812,1.9604,0.729200000000001,2.952,2.9668,0.880000000000001,1.6748,2.386,0.7624,1.332,0.8672,1.0788,1.1584,1.804,0.811999999999999,1.1856,1.1612,0.8476,0.6968
0.9552,1.1032,0.8184,1.084,2.4812,0.827199999999999,0.8392,1.1208,1.2404,0.912000000000001,0.361600000000001,0.774000000000001,1.0992,0.4152,0.7036,0.889200000000001,1.0888,0.6096,0.791599999999999,0.9824,0.7776,1.6388,0.968399999999999,2.2688,1.2156,1.87,1.9652,0.765600000000001,2.9448,2.972,0.9168,1.6876,2.4192,0.734,1.3508,0.861599999999999,1.0428,1.2236,1.84,0.836399999999999,1.2228,1.2156,0.853200000000001,0.677999999999999
0.976800000000001,1.148,0.8184,1.1172,2.55,0.8352,0.844800000000001,1.1712,1.2912,0.9452,0.3588,0.7872,1.1568,0.426399999999999,0.718399999999999,0.9268,1.1048,0.5984,0.789999999999999,0.9892,0.795999999999999,1.6772,0.926399999999999,2.3056,1.2624,1.928,1.97,0.802,2.9376,2.9772,0.9536,1.7004,2.4524,0.7056,1.3696,0.856,1.0068,1.2888,1.876,0.860799999999999,1.26,1.27,0.8588,0.6592
