dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,O,12,16,50,0.18974657356739044,0.180983304977417,315.89521956443787
data2,STGCN,O,12,32,50,0.20153896510601044,0.2015053927898407,320.2176947593689
data2,STGCN,O,12,64,50,0.19367912411689758,0.1873210370540619,322.3959496021271
data2,STGCN,O,4,16,100,0.18401792645454407,0.17635168135166168,591.4686388969421
data2,STGCN,O,4,32,100,0.18008005619049072,0.16654756665229797,596.9565246105194
data2,STGCN,O,4,64,100,0.18398159742355347,0.17303597927093506,619.5088670253754
data2,STGCN,O,8,16,100,0.1820584535598755,0.17234663665294647,609.2068192958832
data2,STGCN,O,8,32,100,0.1916869580745697,0.17796747386455536,620.3057541847229
data2,STGCN,O,8,64,100,0.1968185305595398,0.18863871693611145,637.8976244926453
data2,STGCN,O,12,16,100,0.186396524310112,0.17735329270362854,620.5861074924469
data2,STGCN,O,12,32,100,0.19432473182678223,0.1885165572166443,627.7575342655182
data2,STGCN,O,12,64,100,0.18398244678974152,0.1750413477420807,645.520170211792
data2,STGCN,O,4,16,150,0.17852066457271576,0.1670692265033722,893.5530998706818
data2,STGCN,O,4,32,150,0.19655869901180267,0.18879267573356628,904.754508972168
data2,STGCN,O,4,64,150,0.18232440948486328,0.16911324858665466,945.1740708351135
data2,STGCN,O,8,16,150,0.18494002521038055,0.17415879666805267,918.975576877594
data2,STGCN,O,8,32,150,0.19318915903568268,0.18241705000400543,938.2098133563995
data2,STGCN,O,8,64,150,0.19547614455223083,0.18993018567562103,957.474939584732
data2,STGCN,O,12,16,150,0.19412758946418762,0.18624275922775269,931.0008482933044
data2,STGCN,O,12,32,150,0.18353937566280365,0.17525243759155273,945.2658634185791
data2,STGCN,O,12,64,150,0.2033119797706604,0.19997116923332214,980.7819485664368
data2,EPT-STGCN,X,4,16,50,0.18675869703292847,0.1634942889213562,295.1279001235962
data2,EPT-STGCN,X,4,32,50,0.18085628747940063,0.1591666042804718,298.4786522388458
data2,EPT-STGCN,X,4,64,50,0.1907314509153366,0.1759907752275467,307.732803106308
data2,EPT-STGCN,X,8,16,50,0.20279066264629364,0.17404137551784515,305.7461214065552
data2,EPT-STGCN,X,8,32,50,0.19738952815532684,0.16938424110412598,306.54482865333557
data2,EPT-STGCN,X,8,64,50,0.2067047506570816,0.17665623128414154,322.3661150932312
data2,EPT-STGCN,X,12,16,50,0.2059287130832672,0.1750408262014389,311.18912649154663
data2,EPT-STGCN,X,12,32,50,0.20278693735599518,0.17551681399345398,320.4038116931915
data2,EPT-STGCN,X,12,64,50,0.2147745043039322,0.18007206916809082,326.71798944473267
data2,EPT-STGCN,X,4,16,100,0.1811668872833252,0.16167595982551575,593.6489963531494
data2,EPT-STGCN,X,4,32,100,0.1864599883556366,0.16443464159965515,600.5810122489929
data2,EPT-STGCN,X,4,64,100,0.18676616251468658,0.16684743762016296,629.2954680919647
data2,EPT-STGCN,X,8,16,100,0.1920713186264038,0.1663156896829605,615.5096192359924
data2,EPT-STGCN,X,8,32,100,0.1948864609003067,0.17626850306987762,619.2572650909424
data2,EPT-STGCN,X,8,64,100,0.19176194071769714,0.16803859174251556,644.2939002513885
data2,EPT-STGCN,X,12,16,100,0.1903662383556366,0.1671130508184433,624.165449142456
data2,EPT-STGCN,X,12,32,100,0.21105535328388214,0.17686639726161957,634.0418322086334
data2,EPT-STGCN,X,12,64,100,0.19922736287117004,0.17213019728660583,656.926851272583
data2,EPT-STGCN,X,4,16,150,0.18903882801532745,0.1664397120475769,890.5237691402435
data2,EPT-STGCN,X,4,32,150,0.18389952182769775,0.1631632149219513,901.6248047351837
data2,EPT-STGCN,X,4,64,150,0.18857595324516296,0.16788026690483093,930.632719039917
data2,EPT-STGCN,X,8,16,150,0.1915459781885147,0.16309760510921478,922.5497188568115
data2,EPT-STGCN,X,8,32,150,0.19626416265964508,0.17172613739967346,934.9353766441345
data2,EPT-STGCN,X,8,64,150,0.193625807762146,0.16960597038269043,971.0770103931427
data2,EPT-STGCN,X,12,16,150,0.19604837894439697,0.16558030247688293,946.1603729724884
data2,EPT-STGCN,X,12,32,150,0.19682350754737854,0.17465734481811523,953.8237919807434
data2,EPT-STGCN,X,12,64,150,0.2237083464860916,0.18817979097366333,991.8511571884155
data2,EPT-STGCN,O,4,16,50,0.19106541574001312,0.1788424551486969,295.07578921318054
data2,EPT-STGCN,O,4,32,50,0.18061792850494385,0.16690227389335632,298.2764868736267
data2,EPT-STGCN,O,4,64,50,0.1850920021533966,0.1741209179162979,307.6096911430359
data2,EPT-STGCN,O,8,16,50,0.18883951008319855,0.1738303154706955,304.9734048843384
